Visitor,PTS,Home,PTS,,,,,,,,,Visitor,PTS,Home,PTS
Boston Celtics,99,Atlanta Hawks,110,,,,,,,,,BOS,99,ATL,110
Cleveland Cavaliers,99,Brooklyn Nets,109,,,,,,,,,CLE,99,BKN,109
New Orleans Pelicans,98,Miami Heat,113,,,,,,,,,NOP,98,MIA,113
Los Angeles Lakers,102,Milwaukee Bucks,109,,,,,,,,,LAL,102,MIL,109
Orlando Magic,104,New York Knicks,98,,,,,,,,,ORL,104,NYK,98
Sacramento Kings,97,Minnesota Timberwolves,107,,,,,,,,,SAC,97,MIN,107
Houston Rockets,89,Oklahoma City Thunder,101,,,,,,,,,HOU,89,OKC,101
Dallas Mavericks,98,Phoenix Suns,105,,,,,,,,,DAL,98,PHX,105
Chicago Bulls,107,Portland Trail Blazers,112,,,,,,,,,CHI,107,PHX,112
Golden State Warriors,104,Cleveland Cavaliers,89,,,,,,,,,GSW,104,CLE,89
Washington Wizards,97,Miami Heat,112,,,,,,,,,WAS,97,MIA,112
Los Angeles Clippers,108,Memphis Grizzlies,120,,,,,,,,,LAC,108,MEM,120
San Antonio Spurs,90,Minnesota Timberwolves,115,,,,,,,,,SAS,90,MIN,115
Philadelphia 76ers,103,Denver Nuggets,89,,,,,,,,,PHI,103,DEN,89
Toronto Raptors,103,Utah Jazz,119,,,,,,,,,TOR,103,UTA,119
Indiana Pacers,118,Charlotte Hornets,121,,,,,,,,,IND,118,CHA,121
Golden State Warriors,105,Detroit Pistons,102,,,,,,,,,GSW,105,DET,102
Los Angeles Lakers,108,Boston Celtics,130,,,,,,,,,LAL,108,BOS,130
Orlando Magic,113,Brooklyn Nets,115,,,,,,,,,ORL,113,BKN,115
Oklahoma City Thunder,89,Milwaukee Bucks,96,,,,,,,,,OKC,89,MIL,96
Los Angeles Clippers,81,New Orleans Pelicans,94,,,,,,,,,LAC,81,NOP,94
Chicago Bulls,114,Denver Nuggets,108,,,,,,,,,CHI,114,DEN,108
Dallas Mavericks,104,Phoenix Suns,112,,,,,,,,,DAL,104,PHX,112
Toronto Raptors,108,Sacramento Kings,89,,,,,,,,,TOR,108,SAC,89
Houston Rockets,99,New York Knicks,106,,,,,,,,,HOU,99,NYK,106
New Orleans Pelicans,94,Indiana Pacers,111,,,,,,,,,NOP,94,IND,111
Miami Heat,100,Washington Wizards,103,,,,,,,,,MIA,100,WAS,103
Charlotte Hornets,105,Atlanta Hawks,115,,,,,,,,,CHA,105,ATL,115
Oklahoma City Thunder,105,Boston Celtics,111,,,,,,,,,OKC,105,BOS,111
Orlando Magic,108,Milwaukee Bucks,117,,,,,,,,,ORL,108,MIL,117
Memphis Grizzlies,95,Minnesota Timberwolves,138,,,,,,,,,MEM,95,MIN,138
Philadelphia 76ers,111,Portland Trail Blazers,118,,,,,,,,,PHI,111,PHX,118
Utah Jazz,123,Sacramento Kings,105,,,,,,,,,UTA,123,SAC,105
Dallas Mavericks,91,Los Angeles Clippers,97,,,,,,,,,DAL,91,LAC,97
Los Angeles Lakers,121,Detroit Pistons,116,,,,,,,,,LAL,121,DET,116
New York Knicks,103,Chicago Bulls,109,,,,,,,,,NYK,103,CHI,109
Denver Nuggets,97,Phoenix Suns,126,,,,,,,,,DEN,97,PHX,126
Toronto Raptors,104,Golden State Warriors,119,,,,,,,,,TOR,104,GSW,119
Brooklyn Nets,117,Cleveland Cavaliers,112,,,,,,,,,BKN,117,CLE,112
Charlotte Hornets,109,Washington Wizards,103,,,,,,,,,CHA,109,WAS,103
Oklahoma City Thunder,101,Atlanta Hawks,113,,,,,,,,,OKC,101,ATL,113
Houston Rockets,90,Boston Celtics,108,,,,,,,,,HOU,90,BOS,108
Indiana Pacers,109,Chicago Bulls,77,,,,,,,,,IND,109,CHI,77
Orlando Magic,92,Milwaukee Bucks,123,,,,,,,,,ORL,92,MIL,123
Minnesota Timberwolves,110,New Orleans Pelicans,96,,,,,,,,,MIN,110,NOP,96
Phoenix Suns,115,San Antonio Spurs,111,,,,,,,,,PHX,115,SAS,111
Memphis Grizzlies,119,Utah Jazz,118,,,,,,,,,MEM,119,UTA,118
Philadelphia 76ers,102,Sacramento Kings,94,,,,,,,,,PHI,102,SAC,94
Miami Heat,100,Detroit Pistons,92,,,,,,,,,MIA,100,DET,92
Los Angeles Lakers,100,New York Knicks,106,,,,,,,,,LAL,100,NYK,106
Denver Nuggets,100,Portland Trail Blazers,119,,,,,,,,,DEN,100,PHX,119
Dallas Mavericks,112,Los Angeles Clippers,104,,,,,,,,,DAL,112,LAC,104
Phoenix Suns,120,Cleveland Cavaliers,115,,,,,,,,,PHX,120,CLE,115
Los Angeles Lakers,124,Indiana Pacers,116,,,,,,,,,LAL,124,IND,116
Charlotte Hornets,106,Orlando Magic,99,,,,,,,,,CHA,106,ORL,99
Brooklyn Nets,123,Boston Celtics,104,,,,,,,,,BKN,123,BOS,104
Chicago Bulls,113,Houston Rockets,118,,,,,,,,,CHI,113,HOU,118
